lr = 0.009000000000000001, hs = 400, mm = 0.9500000000000001, ne = 9, acc_train = 0.9114152892561983, acc_test = 0.8135330578512396
lr = 0.009000000000000001, hs = 400, mm = 0.9500000000000001, ne = 10, acc_train = 0.9121900826446281, acc_test = 0.8006198347107438
lr = 0.009000000000000001, hs = 400, mm = 0.9600000000000001, ne = 8, acc_train = 0.900051652892562, acc_test = 0.8073347107438017
lr = 0.009000000000000001, hs = 400, mm = 0.9600000000000001, ne = 9, acc_train = 0.9106404958677686, acc_test = 0.8145661157024794
lr = 0.009000000000000001, hs = 400, mm = 0.9600000000000001, ne = 10, acc_train = 0.8977272727272727, acc_test = 0.7861570247933884
lr = 0.009000000000000001, hs = 450, mm = 0.92, ne = 8, acc_train = 0.8770661157024794, acc_test = 0.7851239669421488
lr = 0.009000000000000001, hs = 450, mm = 0.92, ne = 9, acc_train = 0.8966942148760331, acc_test = 0.8006198347107438
lr = 0.009000000000000001, hs = 450, mm = 0.92, ne = 10, acc_train = 0.9084452479338843, acc_test = 0.809400826446281
lr = 0.009000000000000001, hs = 450, mm = 0.93, ne = 8, acc_train = 0.8401342975206612, acc_test = 0.7567148760330579
lr = 0.009000000000000001, hs = 450, mm = 0.93, ne = 9, acc_train = 0.9005681818181818, acc_test = 0.8047520661157025
lr = 0.009000000000000001, hs = 450, mm = 0.93, ne = 10, acc_train = 0.9154183884297521, acc_test = 0.8130165289256198
lr = 0.009000000000000001, hs = 450, mm = 0.9400000000000001, ne = 8, acc_train = 0.8966942148760331, acc_test = 0.8140495867768595
lr = 0.009000000000000001, hs = 450, mm = 0.9400000000000001, ne = 9, acc_train = 0.8951446280991735, acc_test = 0.7882231404958677
lr = 0.009000000000000001, hs = 450, mm = 0.9400000000000001, ne = 10, acc_train = 0.8895919421487604, acc_test = 0.78099173553719
lr = 0.009000000000000001, hs = 450, mm = 0.9500000000000001, ne = 8, acc_train = 0.8478822314049587, acc_test = 0.7520661157024794
lr = 0.009000000000000001, hs = 450, mm = 0.9500000000000001, ne = 9, acc_train = 0.8895919421487604, acc_test = 0.7975206611570248
lr = 0.009000000000000001, hs = 450, mm = 0.9500000000000001, ne = 10, acc_train = 0.9047004132231405, acc_test = 0.8057851239669421
lr = 0.009000000000000001, hs = 450, mm = 0.9600000000000001, ne = 8, acc_train = 0.9001807851239669, acc_test = 0.8104338842975206
lr = 0.009000000000000001, hs = 450, mm = 0.9600000000000001, ne = 9, acc_train = 0.9307851239669421, acc_test = 0.831095041322314
lr = 0.009000000000000001, hs = 450, mm = 0.9600000000000001, ne = 10, acc_train = 0.893595041322314, acc_test = 0.8057851239669421
